NAICS,NAICS_TITLE,teleworkable_emp,teleworkable_wage,teleworkable_manual_emp,teleworkable_manual_wage
113,Forestry and Logging,.11621563,.11694129,.1512716,.15908691
115,Support Activities for Agriculture and Forestry,.07096149,.13203268,.048828539,.10165473
211,Oil and Gas Extraction,.53095901,.6567387,.43069643,.54048651
212,Mining (except Oil and Gas),.11866288,.15359055,.099561699,.14262912
213,Support Activities for Mining,.21026278,.3063722,.16359439,.24628125
221,Utilities,.3699975,.40976703,.36985531,.41298309
236,Construction of Buildings,.24474956,.29015684,.20459197,.26638481
237,Heavy and Civil Engineering Construction,.15450422,.2021292,.12478104,.18222067
238,Specialty Trade Contractors,.17196091,.2013973,.1270417,.16239636
311,Food Manufacturing,.10082075,.18615155,.096251547,.181541
312,Beverage and Tobacco Product Manufacturing,.18258549,.28648967,.17050725,.26229393
313,Textile Mills,.11584711,.19187674,.11566566,.19993067
314,Textile Product Mills,.18937546,.29841954,.16226317,.26523834
315,Apparel Manufacturing,.20842013,.38778263,.17179963,.3365896
316,Leather and Allied Product Manufacturing,.17214595,.289635,.16520788,.26363772
321,Wood Product Manufacturing,.13076213,.2113356,.10782189,.18415159
322,Paper Manufacturing,.15957078,.24342248,.14720249,.23225239
323,Printing and Related Support Activities,.3550531,.45612377,.2744396,.37024501
324,Petroleum and Coal Products Manufacturing,.21239342,.28124642,.2137704,.2802476
325,Chemical Manufacturing,.27822965,.39916274,.2881074,.41314435
326,Plastics and Rubber Products Manufacturing,.15134722,.25517002,.15387207,.26462933
327,Nonmetallic Mineral Product Manufacturing,.16973431,.24461919,.14079817,.21575025
331,Primary Metal Manufacturing,.12809217,.20472686,.1450136,.23102
332,Fabricated Metal Product Manufacturing,.18565737,.27902955,.17467324,.27362719
333,Machinery Manufacturing,.26123902,.3801187,.29196009,.43165445
334,Computer and Electronic Product Manufacturing,.50609058,.67035425,.57492107,.7381528
335,"Electrical Equipment, Appliance, and Component Manufacturing",.27664644,.4257068,.3083216,.47026804
336,Transportation Equipment Manufacturing,.20939927,.33331767,.31905574,.45953196
337,Furniture and Related Product Manufacturing,.17319366,.27063826,.16015071,.25709251
