onetsoccode,title,teleworkable
11-1011.00,Chief Executives,1
11-1011.03,Chief Sustainability Officers,1
11-1021.00,General and Operations Managers,1
11-2011.00,Advertising and Promotions Managers,1
11-2021.00,Marketing Managers,1
11-2022.00,Sales Managers,1
11-2031.00,Public Relations and Fundraising Managers,1
11-3011.00,Administrative Services Managers,1
11-3021.00,Computer and Information Systems Managers,1
11-3031.01,Treasurers and Controllers,1
11-3031.02,"Financial Managers, Branch or Department",1
11-3051.00,Industrial Production Managers,0
11-3051.01,Quality Control Systems Managers,0
11-3051.02,Geothermal Production Managers,0
11-3051.03,Biofuels Production Managers,0
11-3051.04,Biomass Power Plant Managers,0
11-3051.06,Hydroelectric Production Managers,0
11-3061.00,Purchasing Managers,1
11-3071.01,Transportation Managers,1
11-3071.02,Storage and Distribution Managers,0
11-3071.03,Logistics Managers,1
11-3111.00,Compensation and Benefits Managers,1
11-3121.00,Human Resources Managers,1
11-3131.00,Training and Development Managers,1
11-9013.01,Nursery and Greenhouse Managers,0
11-9013.02,Farm and Ranch Managers,0
11-9013.03,Aquacultural Managers,0
11-9021.00,Construction Managers,0
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",0
11-9032.00,"Education Administrators, Elementary and Secondary School",1
11-9033.00,"Education Administrators, Postsecondary",1
11-9039.01,Distance Learning Coordinators,1
11-9039.02,Fitness and Wellness Coordinators,1
11-9041.00,Architectural and Engineering Managers,1
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0
11-9051.00,Food Service Managers,0
11-9061.00,Funeral Service Managers,0
11-9071.00,Gaming Managers,0
11-9081.00,Lodging Managers,0
11-9111.00,Medical and Health Services Managers,1
11-9121.00,Natural Sciences Managers,1
11-9121.01,Clinical Research Coordinators,1
11-9121.02,Water Resource Specialists,1
11-9131.00,Postmasters and Mail Superintendents,1
11-9141.00,"Property, Real Estate, and Community Association Managers",1
11-9151.00,Social and Community Service Managers,1
11-9161.00,Emergency Management Directors,0
11-9199.01,Regulatory Affairs Managers,1
11-9199.02,Compliance Managers,1
11-9199.03,Investment Fund Managers,1
11-9199.04,Supply Chain Managers,1
11-9199.07,Security Managers,1
11-9199.08,Loss Prevention Managers,1
11-9199.09,Wind Energy Operations Managers,0
11-9199.10,Wind Energy Project Managers,1
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,1
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",1
13-1021.00,"Buyers and Purchasing Agents, Farm Products",1
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",1
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1
13-1031.01,"Claims Examiners, Property and Casualty Insurance",1
13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1
13-1032.00,"Insurance Appraisers, Auto Damage",0
13-1041.01,Environmental Compliance Inspectors,0
13-1041.02,Licensing Examiners and Inspectors,0
13-1041.03,Equal Opportunity Representatives and Officers,1
13-1041.04,Government Property Inspectors and Investigators,1
13-1041.06,Coroners,0
13-1041.07,Regulatory Affairs Specialists,1
13-1051.00,Cost Estimators,1
13-1071.00,Human Resources Specialists,1
13-1074.00,Farm Labor Contractors,1
13-1075.00,Labor Relations Specialists,1
13-1081.00,Logisticians,1
13-1081.01,Logistics Engineers,1
13-1081.02,Logistics Analysts,1
13-1111.00,Management Analysts,1
13-1121.00,"Meeting, Convention, and Event Planners",0
13-1131.00,Fundraisers,0
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",1
13-1151.00,Training and Development Specialists,1
13-1161.00,Market Research Analysts and Marketing Specialists,1
13-1199.01,Energy Auditors,0
13-1199.02,Security Management Specialists,1
13-1199.03,Customs Brokers,1
13-1199.04,Business Continuity Planners,1
13-1199.05,Sustainability Specialists,1
13-1199.06,Online Merchants,1
13-2011.01,Accountants,1
13-2011.02,Auditors,1
13-2021.01,Assessors,1
13-2021.02,"Appraisers, Real Estate",1
13-2031.00,Budget Analysts,1
13-2041.00,Credit Analysts,1
13-2051.00,Financial Analysts,1
13-2052.00,Personal Financial Advisors,1
13-2053.00,Insurance Underwriters,1
13-2061.00,Financial Examiners,1
13-2071.00,Credit Counselors,1
13-2071.01,Loan Counselors,1
13-2072.00,Loan Officers,0
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",0
13-2082.00,Tax Preparers,0
13-2099.01,Financial Quantitative Analysts,1
13-2099.02,Risk Management Specialists,1
13-2099.04,"Fraud Examiners, Investigators and Analysts",1
15-1111.00,Computer and Information Research Scientists,1
15-1121.00,Computer Systems Analysts,1
15-1121.01,Informatics Nurse Specialists,1
15-1122.00,Information Security Analysts,1
15-1131.00,Computer Programmers,1
15-1132.00,"Software Developers, Applications",1
15-1133.00,"Software Developers, Systems Software",1
15-1134.00,Web Developers,1
15-1141.00,Database Administrators,1
15-1142.00,Network and Computer Systems Administrators,1
15-1143.00,Computer Network Architects,1
15-1143.01,Telecommunications Engineering Specialists,1
15-1151.00,Computer User Support Specialists,1
15-1152.00,Computer Network Support Specialists,1
15-1199.01,Software Quality Assurance Engineers and Testers,1
15-1199.02,Computer Systems Engineers/Architects,1
15-1199.03,Web Administrators,1
15-1199.04,Geospatial Information Scientists and Technologists,1
15-1199.05,Geographic Information Systems Technicians,1
15-1199.06,Database Architects,1
15-1199.07,Data Warehousing Specialists,1
15-1199.08,Business Intelligence Analysts,1
15-1199.09,Information Technology Project Managers,1
15-1199.10,Search Marketing Strategists,1
15-1199.11,Video Game Designers,1
15-1199.12,Document Management Specialists,1
15-2011.00,Actuaries,1
15-2021.00,Mathematicians,1
15-2031.00,Operations Research Analysts,1
15-2041.00,Statisticians,1
15-2041.01,Biostatisticians,1
15-2041.02,Clinical Data Managers,1
15-2091.00,Mathematical Technicians,1
17-1011.00,"Architects, Except Landscape and Naval",1
17-1012.00,Landscape Architects,1
17-1021.00,Cartographers and Photogrammetrists,1
17-1022.00,Surveyors,0
17-1022.01,Geodetic Surveyors,1
17-2011.00,Aerospace Engineers,1
17-2021.00,Agricultural Engineers,0
17-2031.00,Biomedical Engineers,1
17-2041.00,Chemical Engineers,0
17-2051.00,Civil Engineers,1
17-2051.01,Transportation Engineers,1
17-2061.00,Computer Hardware Engineers,1
17-2071.00,Electrical Engineers,1
17-2072.00,"Electronics Engineers, Except Computer",1
17-2072.01,Radio Frequency Identification Device Specialists,1
17-2081.00,Environmental Engineers,1
17-2081.01,Water/Wastewater Engineers,1
17-2111.01,Industrial Safety and Health Engineers,0
17-2111.02,Fire-Prevention and Protection Engineers,1
17-2111.03,Product Safety Engineers,0
17-2112.00,Industrial Engineers,0
17-2112.01,Human Factors Engineers and Ergonomists,1
17-2121.01,Marine Engineers,0
17-2121.02,Marine Architects,1
17-2131.00,Materials Engineers,0
17-2141.00,Mechanical Engineers,0
17-2141.01,Fuel Cell Engineers,0
17-2141.02,Automotive Engineers,1
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",0
17-2161.00,Nuclear Engineers,0
17-2171.00,Petroleum Engineers,1
17-2199.01,Biochemical Engineers,0
17-2199.02,Validation Engineers,0
17-2199.03,Energy Engineers,0
17-2199.04,Manufacturing Engineers,0
17-2199.05,Mechatronics Engineers,1
17-2199.06,Microsystems Engineers,1
17-2199.07,Photonics Engineers,1
17-2199.08,Robotics Engineers,0
17-2199.09,Nanosystems Engineers,0
17-2199.10,Wind Energy Engineers,1
17-2199.11,Solar Energy Systems Engineers,1
17-3011.01,Architectural Drafters,1
17-3011.02,Civil Drafters,1
17-3012.01,Electronic Drafters,1
17-3012.02,Electrical Drafters,1
17-3013.00,Mechanical Drafters,1
17-3021.00,Aerospace Engineering and Operations Technicians,0
17-3022.00,Civil Engineering Technicians,1
17-3023.01,Electronics Engineering Technicians,0
17-3023.03,Electrical Engineering Technicians,0
17-3024.00,Electro-Mechanical Technicians,0
17-3024.01,Robotics Technicians,0
17-3025.00,Environmental Engineering Technicians,0
17-3026.00,Industrial Engineering Technicians,0
17-3027.00,Mechanical Engineering Technicians,0
17-3027.01,Automotive Engineering Technicians,0
17-3029.01,Non-Destructive Testing Specialists,0
17-3029.02,Electrical Engineering Technologists,0
17-3029.03,Electromechanical Engineering Technologists,0
17-3029.04,Electronics Engineering Technologists,0
17-3029.05,Industrial Engineering Technologists,0
17-3029.06,Manufacturing Engineering Technologists,0
17-3029.07,Mechanical Engineering Technologists,0
17-3029.08,Photonics Technicians,0
17-3029.09,Manufacturing Production Technicians,0
17-3029.11,Nanotechnology Engineering Technologists,0
17-3029.12,Nanotechnology Engineering Technicians,0
17-3031.01,Surveying Technicians,0
17-3031.02,Mapping Technicians,1
19-1011.00,Animal Scientists,1
19-1012.00,Food Scientists and Technologists,0
19-1013.00,Soil and Plant Scientists,1
19-1020.01,Biologists,1
19-1021.00,Biochemists and Biophysicists,0
19-1022.00,Microbiologists,0
19-1023.00,Zoologists and Wildlife Biologists,1
19-1029.01,Bioinformatics Scientists,1
19-1029.02,Molecular and Cellular Biologists,0
19-1029.03,Geneticists,1
19-1031.01,Soil and Water Conservationists,1
19-1031.02,Range Managers,0
19-1031.03,Park Naturalists,0
19-1032.00,Foresters,0
19-1041.00,Epidemiologists,1
19-1042.00,"Medical Scientists, Except Epidemiologists",1
19-2011.00,Astronomers,1
19-2012.00,Physicists,1
19-2021.00,Atmospheric and Space Scientists,1
19-2031.00,Chemists,0
19-2032.00,Materials Scientists,0
19-2041.00,"Environmental Scientists and Specialists, Including Health",1
19-2041.01,Climate Change Analysts,1
19-2041.02,Environmental Restoration Planners,1
19-2041.03,Industrial Ecologists,1
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",1
19-2043.00,Hydrologists,1
19-2099.01,Remote Sensing Scientists and Technologists,1
19-3011.00,Economists,1
19-3011.01,Environmental Economists,1
19-3022.00,Survey Researchers,1
19-3031.01,School Psychologists,1
19-3031.02,Clinical Psychologists,1
19-3031.03,Counseling Psychologists,1
19-3032.00,Industrial-Organizational Psychologists,1
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,1
19-3041.00,Sociologists,1
19-3051.00,Urban and Regional Planners,0
19-3091.01,Anthropologists,1
19-3091.02,Archeologists,1
19-3092.00,Geographers,1
19-3093.00,Historians,0
19-3094.00,Political Scientists,1
19-3099.01,Transportation Planners,1
19-4011.01,Agricultural Technicians,0
19-4011.02,Food Science Technicians,0
19-4021.00,Biological Technicians,0
19-4031.00,Chemical Technicians,0
19-4041.01,Geophysical Data Technicians,1
19-4041.02,Geological Sample Test Technicians,0
19-4051.01,Nuclear Equipment Operation Technicians,0
19-4051.02,Nuclear Monitoring Technicians,0
19-4061.00,Social Science Research Assistants,1
19-4061.01,City and Regional Planning Aides,0
19-4091.00,"Environmental Science and Protection Technicians, Including Health",0
19-4092.00,Forensic Science Technicians,0
19-4093.00,Forest and Conservation Technicians,0
19-4099.01,Quality Control Analysts,0
19-4099.02,Precision Agriculture Technicians,1
19-4099.03,Remote Sensing Technicians,1
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,1
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",1
21-1013.00,Marriage and Family Therapists,1
21-1014.00,Mental Health Counselors,0
21-1015.00,Rehabilitation Counselors,1
21-1021.00,"Child, Family, and School Social Workers",0
21-1022.00,Healthcare Social Workers,0
21-1023.00,Mental Health and Substance Abuse Social Workers,0
21-1091.00,Health Educators,0
21-1092.00,Probation Officers and Correctional Treatment Specialists,1
21-1093.00,Social and Human Service Assistants,0
21-1094.00,Community Health Workers,0
21-2011.00,Clergy,1
21-2021.00,"Directors, Religious Activities and Education",1
23-1011.00,Lawyers,1
23-1012.00,Judicial Law Clerks,1
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",1
23-1022.00,"Arbitrators, Mediators, and Conciliators",1
23-1023.00,"Judges, Magistrate Judges, and Magistrates",0
23-2011.00,Paralegals and Legal Assistants,1
23-2091.00,Court Reporters,1
23-2093.00,"Title Examiners, Abstractors, and Searchers",1
25-1011.00,"Business Teachers, Postsecondary",1
25-1021.00,"Computer Science Teachers, Postsecondary",1
25-1022.00,"Mathematical Science Teachers, Postsecondary",1
25-1031.00,"Architecture Teachers, Postsecondary",1
25-1032.00,"Engineering Teachers, Postsecondary",1
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",1
25-1042.00,"Biological Science Teachers, Postsecondary",1
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",1
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1
25-1052.00,"Chemistry Teachers, Postsecondary",0
25-1053.00,"Environmental Science Teachers, Postsecondary",1
25-1054.00,"Physics Teachers, Postsecondary",1
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",1
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1
25-1063.00,"Economics Teachers, Postsecondary",1
25-1064.00,"Geography Teachers, Postsecondary",1
25-1065.00,"Political Science Teachers, Postsecondary",1
25-1066.00,"Psychology Teachers, Postsecondary",1
25-1067.00,"Sociology Teachers, Postsecondary",1
25-1071.00,"Health Specialties Teachers, Postsecondary",1
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",1
25-1081.00,"Education Teachers, Postsecondary",1
25-1082.00,"Library Science Teachers, Postsecondary",1
