OCC_CODE,OES_TITLE,teleworkable
11-1011,Chief Executives,1
11-1021,General and Operations Managers,1
11-2011,Advertising and Promotions Managers,1
11-2021,Marketing Managers,1
11-2022,Sales Managers,1
11-2031,Public Relations and Fundraising Managers,1
11-3011,Administrative Services Managers,1
11-3021,Computer and Information Systems Managers,1
11-3031,Financial Managers,1
11-3051,Industrial Production Managers,0
11-3061,Purchasing Managers,1
11-3071,"Transportation, Storage, and Distribution Managers",.71276593
11-3111,Compensation and Benefits Managers,1
11-3121,Human Resources Managers,1
11-3131,Training and Development Managers,1
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0
11-9021,Construction Managers,0
11-9031,"Education Administrators, Preschool and Childcare Center/Program",0
11-9032,"Education Administrators, Elementary and Secondary School",1
11-9033,"Education Administrators, Postsecondary",1
11-9039,"Education Administrators, All Other",1
11-9041,Architectural and Engineering Managers,.5639894
11-9051,Food Service Managers,0
11-9061,Funeral Service Managers,0
11-9071,Gaming Managers,0
11-9081,Lodging Managers,0
11-9111,Medical and Health Services Managers,1
11-9121,Natural Sciences Managers,1
11-9131,Postmasters and Mail Superintendents,1
11-9141,"Property, Real Estate, and Community Association Managers",1
11-9151,Social and Community Service Managers,1
11-9161,Emergency Management Directors,0
11-9199,"Managers, All Other",.85611922
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1
13-1020,Buyers and Purchasing Agents,1
13-1031,"Claims Adjusters, Examiners, and Investigators",1
13-1032,"Insurance Appraisers, Auto Damage",0
13-1041,Compliance Officers,.47093514
13-1051,Cost Estimators,1
13-1071,Human Resources Specialists,1
13-1074,Farm Labor Contractors,1
13-1075,Labor Relations Specialists,1
13-1081,Logisticians,1
13-1111,Management Analysts,1
13-1121,"Meeting, Convention, and Event Planners",0
13-1131,Fundraisers,0
13-1141,"Compensation, Benefits, and Job Analysis Specialists",1
13-1151,Training and Development Specialists,1
13-1161,Market Research Analysts and Marketing Specialists,1
13-1199,"Business Operations Specialists, All Other",.84709477
13-2011,Accountants and Auditors,1
13-2021,Appraisers and Assessors of Real Estate,1
13-2031,Budget Analysts,1
13-2041,Credit Analysts,1
13-2051,Financial Analysts,1
13-2052,Personal Financial Advisors,1
13-2053,Insurance Underwriters,1
13-2061,Financial Examiners,1
13-2071,Credit Counselors,1
13-2072,Loan Officers,0
13-2081,"Tax Examiners and Collectors, and Revenue Agents",0
13-2082,Tax Preparers,0
13-2099,"Financial Specialists, All Other",1
15-1111,Computer and Information Research Scientists,1
15-1121,Computer Systems Analysts,1
15-1122,Information Security Analysts,1
15-1131,Computer Programmers,1
